Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC)
NOT TAGGED,!12836ADFG01,AK,ADFG,H,CANNERY CREEK,1982,CANNERY CR,,PINK,EMERGENT FRY,0.22,,1983,CANNERY CR 222-50,6/7/1983,0,60216,,2,AD+LV,,,,
NOT TAGGED,!12831ADFG02,AK,ADFG,H,ELMENDORF,1982,CROOKED CR 244-30,,CHINOOK,PRESMOLT    ,13.1,,1983,COVE CR 224-10,5/31/1983,0,112020,,2,NO MARK,,,,
NOT TAGGED,!12842ADFG12,AK,ADFG,H,ELMENDORF,1982,CROOKED CR 244-30,,COHO,SMOLT       ,29.69,,1984,COVE CR 224-10,6/18/1984,0,41661,,2,NO MARK,,,,
NOT TAGGED,!12834ADFG10,AK,ADFG,H,GULKANA,1982,GULKANA R,,SOCKEYE,EMERGENT FRY,0.16,,1983,PAXSON LK 212-20,6/2/1983,0,5470056,,2,NO MARK,,,,
NOT TAGGED,!12834ADFG11,AK,ADFG,H,GULKANA,1982,GULKANA R,,SOCKEYE,EMERGENT FRY,0.16,,1983,SUMMIT LK 212-20,6/2/1983,0,4312628,,2,NO MARK,,,,
NOT TAGGED,!12835ADFG04,AK,ADFG,H,MAIN BAY,1982,WELLS R 222-20,,CHUM,FED FRY     ,0.69,,1983,MAIN BAY 225-20,4/18/1983,0,73813,,2,AD+LV,,,,
NOT TAGGED,!12835ADFG03,AK,ADFG,H,MAIN BAY,1982,WELLS R 222-20,,CHUM,FED FRY     ,0.48,,1983,MAIN BAY 225-20,4/25/1983,0,8479038,,2,NO MARK,,,,
NOT TAGGED,!12836ADFG06,AK,ADFG,H,MAIN BAY,1982,WELLS R 222-20,,PINK,FED FRY     ,0.38,,1983,MAIN BAY 225-20,4/18/1983,0,91328,,2,AD+RV,,,,
NOT TAGGED,!12836ADFG07,AK,ADFG,H,MAIN BAY,1982,A F KOERNIG,,PINK,FED FRY     ,0.23,,1983,MAIN BAY 225-20,5/9/1983,0,25751531,,2,NO MARK,,,,
NOT TAGGED,!12835PWSA01,AK,PWSA,H,A F KOERNIG,1982,A F KOERNIG,,CHUM,FED FRY     ,0.54,39,1983,PORT SAN JUAN 226-40,6/8/1983,0,9484200,,2,NO MARK,,,,
