CruiseName,StNo,Year,Julian Day,SalPpt50m,SalPpt100m
HX234,4,2000,225,31.847,32.538
HX234,5,2000,225,31.806,NA
HX234,127,2000,234,31.868,32.368
HX237,2,2000,275,31.218,32.152
HX237,4,2000,275,31.218,NA
HX237,58,2000,282,30.985,31.966
HX238,2,2000,334,30.475,31.887
LO61,1,2001,24,31.13,31.443
LO62,1,2001,53,32.252,32.145
HX239,5,2001,61,31.388,31.771
HX239,14,2001,5,31.389,31.886
HX239,43,2001,64,31.284,31.44
HX239,104,2001,6,31.399,31.513
HX241,2,2001,92,31.259,31.483
HX241,124,2001,103,31.209,31.655
HX242,58,2001,111,31.533,31.904
HX243,2,2001,123,31.538,31.871
HX243,49,2001,126,31.386,31.707
HX243,140,2001,133,31.517,31.966
HX244,75,2001,142,31.47,31.962
HX244,164,2001,149,31.565,32.114
HX244,183,2001,14,31.583,32.121
HX246,2,2001,178,31.634,32.226
HX246,23,2001,180,31.721,32.327
HX246,57,2001,183,31.729,32.247
HX246,63,2001,183,31.789,NA
HX247,28,2001,194,31.441,32.181
HX247,162,2001,20,31.567,32.22
HX248,2,2001,210,31.573,32.278
HX248,36,2001,213,31.604,32.282
HX248,37,2001,214,31.559,32.27
HX248,112,2001,218,31.547,32.259
HX252,2,2001,281,31.09,31.887
HX252,3,2001,281,31.241,31.927
HX252,6,2001,282,30.79,31.86
HX252,85,2001,289,31.009,31.942
HX252,97,2001,292,31.294,31.989
HX253,2,2001,337,30.406,31.792
HX253,56,2001,340,30.896,31.415
HX253,101,2001,344,31.277,31.589
HX254,42,2002,0,31.392,31.822
HX254,103,2002,71,31.447,31.485
HX256,1,2002,80,31.453,31.778
HX257,2,2002,94,31.509,31.731
HX257,39,2002,9,31.507,31.979
HX257,47,2002,98,31.522,31.961
HX257,117,2002,102,31.552,31.684
HX258,2,2002,119,31.747,32.134
HX258,62,2002,123,31.714,32.101
HX258,119,2002,128,31.732,32.028
LO63,1,2002,164,31.787,32.271
HX262,3,2002,199,31.796,32.369
HX262,75,2002,206,31.351,32.317
HX262,95,2002,207,31.464,32.366
HX263,2,2002,224,31.679,32.296
HX263,42,2002,228,31.687,32.331
HX263,108,2002,232,31.518,32.28
HX267,2,2002,273,30.825,32.233
HX267,108,2002,2,31.42,32.319
HX268,4,2002,337,29.663,31.547
HX268,105,2002,344,30.159,31.855
LO65,1,2003,29,30.83,31.261
LO66,1,2003,43,30.752,31.536
HX269,2,2003,62,31.096,31.82
HX269,34,2003,67,30.88,31.586
HX269,79,2003,70,30.947,31.191
HX270,2,2003,90,31.051,31.72
HX270,14,2003,90,31.059,31.631
HX270,62,2003,93,31.132,31.97
HX270,110,2003,99,31.213,31.347
HX271,1,2003,113,31.5,31.835
HX271,71,2003,124,31.499,31.985
HX271,91,2003,125,31.558,31.949
HX271,103,2003,126,31.588,31.952
HX271,173,2003,134,31.696,32.042
HX272,2,2003,142,31.519,31.902
HX272,106,2003,150,31.524,31.913
WE0307,1,2003,185,31.43,31.927
WE0307,62,2003,189,31.552,32.019
WE0307,91,2003,193,31.537,32.047
HX275,2,2003,200,31.515,32.047
HX276,2,2003,224,31.628,32.189
HX276,78,2003,22,31.496,32.074
HX276,104,2003,233,30.985,32.094
HX279,42,2003,284,30.313,31.872
